##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(транзит);;;x
PROV100;Linkцping;Linkцping;Linkцping;Linkцping;Linkцping;Linkцping;;Норчёпинг;;;X
PROV101;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;;Стокгольм;;;X
PROV102;Slonim;Slonim;Slonim;Slonim;Slonim;Sіonim;;Упсала;;;X
PROV103;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;;Эланд;;;X
PROV104;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;;Вестерос;;;X
PROV105;Цrebro;Цrebro;Цrebro;Цrebro;Цrebro;Цrebro;;Карлстад;;;X
PROV106;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;;Эмель;;;X
PROV107;Oslo;Oslo;Oslo;Oslo;Oslo;Oslo;;Осло;;;X
PROV108;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;;Кристиансанн;;;X
PROV109;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;;Ставангер;;;X
PROV110;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;;Берген;;;X
PROV111;Hamar;Hamar;Hamar;Hamar;Hamar;Hamar;;Хамар;;;X
PROV112;Drammen;Drammen;Drammen;Drammen;Drammen;Drammen;;Людвика;;;X
PROV113;Gдvle;Gдvle;Gдvle;Gдvle;Gдvle;Gдvle;;Фалун;;;X
PROV114;Arendal;Arendal;Arendal;Arendal;Arendal;Arendal;;Гавле;;;X
PROV115;Falun;Falun;Falun;Falun;Falun;Falun;;Свег;;;X
PROV116;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Lillehammer;;Рёрос;;;X
PROV117;Molde;Molde;Molde;Molde;Molde;Molde;;Олесунн;;;X
PROV118;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;;Тронхейм;;;X
PROV119;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;;Эстерсунд;;;X
PROV120;Еrhus;Еrhus;Еrhus;Еrhus;Еrhus;Еrhus;;Сундсвалль;;;X
PROV121;Umeе;Umeе;Umeе;Umeе;Umeе;Umeе;;Вильгельмина;;;X
PROV122;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Esbjerg;;Умео;;;X
PROV123;Terijoki;Terijoki;Terijoki;Terijoki;Terijoki;Terijoki;;Галливаре;;;X
PROV124;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;;Му-и-Рана;;;X
PROV125;Tromso;Tromso;Tromso;Tromso;Tromso;Tromso;;Нарвик;;;X
PROV126;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;;Кируна;;;X
PROV127;Luleе;Luleе;Luleе;Luleе;Luleе;Luleе;;Лулео;;;X
PROV128;Alta;Alta;Alta;Alta;Alta;Alta;;Хаммерфест;;;X
PROV129;Bergen;Bergen;Bergen;Bergen;Bergen;Bergen;;Варде;;;X
PROV130;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;;Рованиеми;;;X
PROV131;Kemi;Kemi;Kemi;Kemi;Kemi;Kemi;;Торнио;;;X
PROV132;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;;Печенга;;;X
PROV133;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;;Мурманск;;;X
PROV134;Jokanga;Jokanga;Jokanga;Jokanga;Jokanga;Jokanga;;Кола;;;X
PROV135;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;;Кандалакша;;;X
PROV136;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;;Кайяни;;;X
PROV137;Oulu;Oulu;Oulu;Oulu;Oulu;Oulu;;Оулу;;;X
PROV138;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;;Васа;;;X
PROV139;Tampere;Tampere;Tampere;Tampere;Tampere;Tampere;;Сейнайоки;;;X
PROV140;Pori;Pori;Pori;Pori;Pori;Pori;;Пори;;;X
PROV141;Turku;Turku;Turku;Turku;Turku;Turku;;Турку;;;X
PROV142;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;;Хельсинки;;;X
PROV143;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;Kuolajдrvi;;Тампере;;;X
PROV144;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Lappenranta;;Миккели;;;X
PROV145;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;;Выборг;;;X
PROV146;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;;Сортавала;;;X
PROV147;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;;Ювяскуля;;;X
PROV148;Lahti;Lahti;Lahti;Lahti;Lahti;Lahti;;Куопио;;;X
PROV149;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;;Йоэнсу;;;X
PROV150;Kem';Kem';Kem';Kem';Kem';Kem';;Кемь;;;X
PROV151;Segeza;Segeza;Segeza;Segeza;Segeza;Segeza;;Сегежа;;;X
PROV152;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;;Петрозаводск;;;X
PROV153;Kirillov;Kirillov;Kirillov;Kirillov;Kirillov;Kirillov;;Молотовск;;;X
PROV154;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;;Архангельск;;;X
PROV155;Simferopol';Simferopol';Simferopol';Simferopol';Simferopol';Simferopol';;Пенза;;;X
PROV156;Tambov;Tambov;Tambov;Tambov;Tambov;Tambov;;Балашов;;;X
PROV157;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;;Урюпинск;;;X
PROV158;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;;Кузнецк;;;X
PROV159;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;;Камышин;;;X
PROV160;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;;Фролово;;;X
PROV161;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;Kam'вnec'-Podil's'kij;;Суровикино;;;X
PROV162;Majkop;Majkop;Majkop;Majkop;Majkop;Majkop;;Калач;;;X
PROV163;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;;Сталинград;;;X
PROV164;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;;Чёрный Яр;;;X
PROV165;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Tot'ma;;Коноша;;;X
PROV166;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Gor'kij;;Кострома;;;X
PROV167;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;;Иваново;;;X
PROV168;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;;Горький;;;X
PROV169;Sasovo;Sasovo;Sasovo;Sasovo;Sasovo;Sasovo;;Арзамас;;;X
PROV170;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;;Тотьма;;;X
PROV171;Volodga;Volodga;Volodga;Volodga;Volodga;Volodga;;Вологда;;;X
PROV172;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;;Череповец;;;X
PROV173;Kimry;Kimry;Kimry;Kimry;Kimry;Kimry;;Бежецк;;;X
PROV174;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;;Калинин;;;X
PROV175;Moskva;Moskva;Moskva;Moskva;Moskva;Moskva;;Москва;;;X
PROV176;Zagorsk;Zagorsk;Zagorsk;Zagorsk;Zagorsk;Zagorsk;;Рыбинск;;;X
PROV177;Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';;Данилов;;;X
PROV178;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;;Ярославль;;;X
PROV179;Murom;Murom;Murom;Murom;Murom;Murom;;Муром;;;X
PROV180;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;;Владимир;;;X
PROV181;Kozel'sk;Kozel'sk;Kozel'sk;Kozel'sk;Kozel'sk;Kozel'sk;;Калуга;;;X
PROV182;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;;Можайск;;;X
PROV183;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;;Вытегра;;;X
PROV184;Belomorsk;Belomorsk;Belomorsk;Belomorsk;Belomorsk;Belomorsk;;Тихвин;;;X
PROV185;Tihvin;Tihvin;Tihvin;Tihvin;Tihvin;Tihvin;;Волхов;;;X
PROV186;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;;Луга;;;X
PROV187;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;;Ленинград;;;X
PROV188;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;;Кингисепп;;;X
PROV189;Kirisi;Kirisi;Kirisi;Kirisi;Kirisi;Kirisi;;Новгород;;;X
PROV190;Borovici;Borovici;Borovici;Borovici;Borovici;Borovici;;Старая Русса;;;X
PROV191;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;;Порхов;;;X
PROV192;Gdov;Gdov;Gdov;Gdov;Gdov;Gdov;;Гдов;;;X
PROV193;Narva;Narva;Narva;Narva;Narva;Narva;;Нарва;;;X
PROV194;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;;Таллин;;;X
PROV195;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;;Тарту;;;X
PROV196;Pдrnu;Pдrnu;Pдrnu;Pдrnu;Pдrnu;Pдrnu;;Пярну;;;X
PROV197;Riga;Riga;Riga;Riga;Riga;Riga;;Рига;;;X
PROV198;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;;Гулбене;;;X
PROV199;Tartu;Tartu;Tartu;Tartu;Tartu;Tartu;;Выру;;;X
PROV200;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;;Псков;;;X
PROV201;Pskov;Pskov;Pskov;Pskov;Pskov;Pskov;;Опочка;;;X
PROV202;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;;Даугавпилс;;;X
PROV203;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;;Екабпилс;;;X
PROV204;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;;Елгава;;;X
PROV205;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;;Liepaja;;;X
PROV206;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;;Klaipeda;;;X
PROV207;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;;Каунас;;;X
PROV208;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;;Вильнюс;;;X
PROV209;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;;Гродно;;;X
PROV210;Slonim;Slonim;Slonim;Slonim;Slonim;Sіonim;;Барановичи;;;X
PROV211;Kalisz;Kalisz;Kalisz;Kalisz;Kalisz;Kalisz;;Лида;;;X
PROV212;Minsk;Minsk;Minsk;Minsk;Minsk;Minsk;;Минск;;;X
PROV213;Glebokie;Glebokie;Glebokie;Glebokie;Glebokie;Gікbokie;;Молодечно;;;X
PROV214;Wilno;Wilno;Wilno;Wilno;Wilno;Wilno;;Свенцяны;;;X
PROV215;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;;Новоржев;;;X
PROV216;Dno;Dno;Dno;Dno;Dno;Dno;;Невель;;;X
PROV217;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Viciebsk;;Витебск;;;X
PROV218;Orsa;Orsa;Orsa;Orsa;Orsa;Orsa;;Орша;;;X
PROV219;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;;Смоленск;;;X
PROV220;Mahilou;Mahilou;Mahilou;Mahilou;Mahilou;Mahilou;;Могилёв;;;X
PROV221;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Babrujsk;;Бобруйск;;;X
PROV222;Wloclawek;Wloclawek;Wloclawek;Wloclawek;Wloclawek;Wіocіawek;;Лунинец;;;X
PROV223;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;;;;;X
PROV224;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;;;;;X
PROV225;Mazyr;Mazyr;Mazyr;Mazyr;Mazyr;Mazyr;;Мозырь;;;X
PROV226;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;;Коростень;;;X
PROV227;Zitomir;Zitomir;Zitomir;Zitomir;Zitomir;Zitomir;;Житомир;;;X
PROV228;Vinnicв;Vinnicв;Vinnicв;Vinnicв;Vinnicв;Vinnicв;;Винница;;;X
PROV229;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;;Станиславов;;;X
PROV230;Balti;Balti;Balti;Balti;Balti;Balti;;Бельцы;;;X
PROV231;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;;Могилёв-Подольский;;;X
PROV232;Balta;Balta;Balta;Balta;Balta;Balta;;Балта;;;X
PROV233;Odesa;Odesa;Odesa;Odesa;Odesa;Odesa;;Одесса;;;X
PROV234;Mikolaiv;Mikolaiv;Mikolaiv;Mikolaiv;Mikolaiv;Mikolaiv;;Херсон;;;X
PROV235;Krivij Rig;Krivij Rig;Krivij Rig;Krivij Rig;Krivij Rig;Krivij Rig;;Днепропетровск;;;X
PROV236;Kirovograd;Kirovograd;Kirovograd;Kirovograd;Kirovograd;Kirovograd;;Кривой Рог;;;X
PROV237;Cerkasi;Cerkasi;Cerkasi;Cerkasi;Cerkasi;Cerkasi;;Черкассы;;;X
PROV238;Kiiv;Kiiv;Kiiv;Kiiv;Kiiv;Kiiv;;Киев;;;X
PROV239;Nizin;Nizin;Nizin;Nizin;Nizin;Nizin;;Прилуки;;;X
PROV240;Korosten';Korosten';Korosten';Korosten';Korosten';Korosten';;Вышгород;;;X
PROV241;Cernigiv;Cernigiv;Cernigiv;Cernigiv;Cernigiv;Cernigiv;;Чернигов;;;X
PROV242;Konotop;Konotop;Konotop;Konotop;Konotop;Konotop;;Конотоп;;;X
PROV243;Zeleznogorsk;Zeleznogorsk;Zeleznogorsk;Zeleznogorsk;Zeleznogorsk;Zeleznogorsk;;Курск;;;X
PROV244;Sumi;Sumi;Sumi;Sumi;Sumi;Sumi;;Сумы;;;X
PROV245;Kremencuk;Kremencuk;Kremencuk;Kremencuk;Kremencuk;Kremencuk;;Полтава;;;X
PROV246;Poltava;Poltava;Poltava;Poltava;Poltava;Poltava;;Запорожье;;;X
PROV247;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;;Белгород;;;X
PROV248;Harkiv;Harkiv;Harkiv;Harkiv;Harkiv;Harkiv;;Харьков;;;X
PROV249;Zaporizzв;Zaporizzв;Zaporizzв;Zaporizzв;Zaporizzв;Zaporizzв;;Сталино;;;X
PROV250;Melitopol';Melitopol';Melitopol';Melitopol';Melitopol';Melitopol';;Мелитополь;;;X
PROV251;Herson;Herson;Herson;Herson;Herson;Herson;;Перекоп;;;X
PROV252;Evpatorija;Evpatorija;Evpatorija;Evpatorija;Evpatorija;Evpatorija;;Евпатория;;;X
PROV253;Sevastopol';Sevastopol';Sevastopol';Sevastopol';Sevastopol';Sevastopol';;Севастополь;;;X
PROV254;Kerc';Kerc';Kerc';Kerc';Kerc';Kerc';;Керчь;;;X
PROV255;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;;Новороссийск;;;X
PROV256;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;;Краснодар;;;X
PROV257;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Sal'sk;;Тихорецк;;;X
PROV258;Mariupol';Mariupol';Mariupol';Mariupol';Mariupol';Mariupol';;Ростов;;;X
PROV259;Lugans'k;Lugans'k;Lugans'k;Lugans'k;Lugans'k;Lugans'k;;Каменск-Шахтинский;;;X
